MgCa,orig_age,max_ma,min_ma
1.509819838,430.274264,431.1431299,429.8428375
1.611588386,432.0119958,432.4404158,431.1431299
1.696370456,432.8688358,433.7407082,432.4404158
1.781190106,434.6125805,435.0470135,433.7407082
1.83207438,435.4814464,436.3653446,435.0470135
1.849098439,437.2492427,438.1421603,436.3653446
1.815275805,439.0350778,439.9370147,438.1421603
1.730606477,440.8389516,441.743895,439.9370147
1.628988252,442.6488384,443.5537818,441.743895
1.527370027,444.4587251,444.9142033,443.5537818
1.459612017,445.3696814,445.8251596,444.9142033
1.391854006,446.2806377,447.1855811,445.8251596
1.290235781,448.0905244,448.5460026,447.1855811
1.222477771,449.0014807,449.9034176,448.5460026
1.137808444,450.8053545,451.704285,449.9034176
1.070088014,452.6032154,453.5021459,451.704285
1.002367584,454.4010763,455.7404526,453.5021459
0.951633633,457.0798289,458.4161988,455.7404526
0.91784858,459.7525686,461.0829256,458.4161988
0.917961322,462.4132825,463.7436395,461.0829256
0.918074064,465.0739964,465.9578946,463.7436395
0.935098123,466.8417927,468.1661368,465.9578946
0.969108661,469.4904808,470.8148249,468.1661368
1.003119198,472.1391689,473.9039588,470.8148249
1.054116215,475.6687486,476.9930927,473.9039588
1.088126752,478.3174367,479.2013349,476.9930927
1.105150811,480.085233,480.9691312,479.2013349
1.122174871,481.8530294,482.739934,480.9691312
1.122250032,483.6268386,484.5167497,482.739934
1.105376296,485.4066608,486.2995784,484.5167497
1.071553661,487.1924959,488.0884199,486.2995784
1.02078213,488.9843439,489.8772615,488.0884199
0.986959496,490.770179,491.666103,489.8772615
0.936187964,492.562027,493.4549445,491.666103
0.90236533,494.347862,495.2347667,493.4549445
0.902440491,496.1216713,497.0055695,495.2347667
0.91946455,497.8894676,498.326907,497.0055695
0.953399926,498.7643464,499.6392252,498.326907
1.021270679,500.514104,500.9425241,499.6392252
1.106052748,501.3709441,502.2337971,500.9425241
1.241719092,503.0966501,503.5220637,502.2337971
1.343450059,503.9474772,504.3758973,503.5220637
1.428232128,504.8043173,505.2327373,504.3758973
1.513014198,505.6611573,506.0925838,505.2327373
1.58084737,506.5240103,506.9554368,506.0925838
1.648680541,507.3868633,507.8152834,506.9554368
1.733462611,508.2437034,509.1065564,507.8152834
1.869128954,509.9694093,510.8382752,509.1065564
1.970897502,511.7071411,512.5880328,510.8382752
2.004870459,513.4689245,514.3588356,512.5880328
1.987996723,515.2487467,516.1446707,514.3588356
1.937225191,517.0405947,517.9365187,516.1446707
1.886453659,518.8324427,519.7313732,517.9365187
1.81873323,520.6303036,521.5292341,519.7313732
1.7510128,522.4281645,523.3240885,521.5292341
1.700241268,524.2200125,525.1099236,523.3240885
1.683367532,525.9998346,526.8837328,525.1099236
1.700391591,527.767631,528.6485227,526.8837328
1.734364548,529.5294144,530.4072997,528.6485227
1.785286403,531.2851849,532.1600637,530.4072997
1.853157155,533.0349425,534.3412478,532.1600637
1.988861079,535.6475531,536.950852,534.3412478
2.141513901,538.2541508,539.1230167,536.950852
2.243282449,539.9918826,540.8607485,539.1230167
2.345050997,541.7296143,542.5984802,540.8607485
2.446819545,543.4673461,543.8957662,542.5984802
2.531601614,544.3241862,545.1900457,543.8957662
2.65031906,546.0559051,546.924771,545.1900457
2.752087608,547.7936368,548.6594963,546.924771
2.870805054,549.5253557,550,548.6594963
