orig_age,MgCa,max_ma,min_ma
113.241344,0.697588126,114.5201164,112.2150046
111.1886652,0.775510204,112.2150046,109.3950624
107.6014596,0.853432282,109.3950624,107.0885272
106.5755947,0.886827458,107.0885272,103.506541
100.4374872,0.886827458,103.506541,99.16013834
97.88278948,0.853432282,99.16013834,95.32524473
92.76769997,0.853432282,95.32524473,90.46496069
88.16222141,0.875695733,90.46496069,85.60420216
83.0461829,0.886827458,85.60420216,80.74249463
78.43880635,0.93135436,80.74249463,76.13369459
73.82858282,1.009276438,76.13369459,71.26724208
68.70590133,1.098330241,71.26724208,65.63067915
62.55545697,1.243042672,65.63067915,59.47881129
56.40216561,1.421150278,59.47881129,53.83892688
51.27568814,1.554730983,53.83892688,48.96915288
46.66261762,1.666048237,48.96915288,44.61278583
42.56295404,1.755102041,44.61278583,40.76792773
38.97290141,1.866419295,40.76792773,37.43362958
35.89435774,1.977736549,37.43362958,34.35508591
32.81581407,2.089053803,34.35508591,30.7626608
28.70950752,2.256029685,30.7626608,26.91115972
25.11281192,2.445269017,26.91115972,23.31446413
21.51611633,2.634508349,23.31446413,19.97209952
18.4280827,2.857142857,19.97209952,16.62736241
14.82664212,3.102040816,16.62736241,13.79508325
12.76352438,3.302411874,13.79508325,11.47383855
10.18415271,3.558441558,11.47383855,8.891619888
7.599087066,3.881261596,8.891619888,6.821384681
6.043682295,4.126159555,6.821384681,5.010699932
3.977717569,4.359925788,5.010699932,3.457193154
2.936668739,4.571428571,3.457193154,2.161338844
1.386008949,4.760667904,2.161338844,0.866908028
0.347807107,4.93877551,0.866908028,0.173903554
0,5.183673469,0.173903554,0
