Column1,Rank,Family,Genus,Species,Museum_code,Museum_country,Publication,Museum_only,In_PBDB,Locality,Continent,Country,lat,lng,Latlng_Precision,Group,Formation,Member,Age_resolution,Max_period,Min_period,early_stage,late_stage,max_ma,min_ma,interval_mid_ma,n_bins,bin_assignment,overlap_percentage,Finalised_lith,Finalised_grainsize,p_lng,p_lat,Combined_name,Finalised_grainsize_simp
532,Genus,Palaechinidae,Palaechinus,sp.,BMNH,England,NONE,1,NA,"Locality 8 (Owen Notebook) The more westery of two old quarries 200 yards W.N.W. of Dooker House, Newsholme, N Yorks (SD 84805195",Europe,England,53.963,-2.233,Seconds,Worston Shale Group,Thornton Shales-with-Limestone,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,-3.374,-14.2365,Palaechinus,Fine Grained
533,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Clitheroe, Lancashire",Europe,England,53.889,-2.372,Minutes,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.2908,-3.8958,Melonechinus,NA
534,Family,Palaechinidae,NA,NA,BMNH,England,NONE,1,NA,"Bundoran, Co. Donegal, Ireland",Europe,Ireland,54.48,-8.284,Seconds,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Mudstone,0.8047,-5.5779,NA,Fine Grained
535,Genus,Palaechinidae,Melonechinus,sp.,BMNH,England,NONE,1,NA,"Thornton-in-Craven, Yorkshire",Europe,England,53.937,-2.136,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,,0.7671,-6.165,Melonechinus,NA
537,Genus,Palaechinidae,Maccoya,sp.,BMNH,England,NONE,1,NA,"Arnside Beach, Westmoreland",Europe,England,54.203,-2.835,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Siliciclastic,Mudstone,-2.1368,-14.4155,Maccoya,Fine Grained
538,Genus,Palaechinidae,Maccoya,sp.,BMNH,England,NONE,1,NA,"Thornley Quarry Chipping, Lancashire",Europe,England,53.897,-2.55,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,Wackestone,-41.0822,-21.7736,Maccoya,Fine Grained
539,Family,Palaechinidae,NA,NA,BMNH,England,NONE,1,NA,"Thornley Quarry Chipping, Lancashire",Europe,England,53.897,-2.55,Minutes,NA,NA,NA,Stage,Mississippian,Mississippian,Visean,Visean,346.7,330.9,338.8,1,69,100,Carbonate,,-41.0822,-21.7736,NA,NA
540,Genus,Palaechinidae,Maccoya,sp.,BMNH,England,NONE,1,NA,"Bellman Quarry, Clitheroe Lanes N.G. Ref 763429",Europe,England,53.891,-2.367,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Wackestone,0.4056,-7.1574,Maccoya,Fine Grained
541,Genus,Palaechinidae,Palaechinus,sp.,BMNH,England,NONE,1,NA,"Salt Hill, Clitheroe, Lancashire ",Europe,England,53.881,-2.365,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,-3.1836,-12.8465,Palaechinus,Coarse Grained
542,Species,Palaechinidae,Maccoya,intermedia,BMNH,England,NONE,1,NA,"Bellman Quarry, Clitheroe Lanes N.G. Ref 763429",Europe,England,53.891,-2.367,Seconds,Chatburn Limestone Group,Clitheroe Limestone Formation,NA,Stage,Mississippian,Mississippian,Tournaisian,Tournaisian,358.9,346.7,352.8,1,70,100,Carbonate,Packstone,0.4056,-7.1574,Maccoya intermedia,Coarse Grained
